address,expected_lat,expected_lon
3+Paulay+ede+Hungary,47.4989174,19.0556286
3+cromwell+street+stoke-on-trent,53.0363168,-2.1683558
pikk+tallin,59.4426986,24.7492949
valapolku+9,60.20176905,24.661255949999997
Ainsworth+east+4th+street+1,42.5498912,-99.8524355
Washington+Market+Square+Southwest,38.88111395,-77.02689284335429
